trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.35, 'e': 0.9169999999999999}",20,0,-142.8486428676003,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
84,False,"{'a': 0.35, 'e': 0.9159999999999999}",20,0,-53.36534111656191,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
85,False,"{'a': 0.35, 'e': 0.9149999999999999}",30,0,-93.59355251188676,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
86,False,"{'a': 0.35, 'e': 0.9139999999999999}",25,0,-126.54765147317882,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 3}",0
87,False,"{'a': 0.35, 'e': 0.9129999999999999}",25,0,-57.02149172047294,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.35, 'e': 0.9119999999999999}",25,0,-58.51451707858816,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
89,False,"{'a': 0.35, 'e': 0.9109999999999999}",30,0,-152.62120744944735,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
90,False,"{'a': 0.35, 'e': 0.9099999999999999}",25,7,-52.865620687963784,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
91,False,"{'a': 0.35, 'e': 0.9089999999999999}",30,0,-163.22231349892314,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
92,False,"{'a': 0.35, 'e': 0.9079999999999999}",25,0,-241.2183905970276,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
93,False,"{'a': 0.35, 'e': 0.9069999999999999}",30,0,-134.8334368402327,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
94,False,"{'a': 0.35, 'e': 0.9059999999999999}",25,0,-146.91588335057102,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
95,False,"{'a': 0.35, 'e': 0.9049999999999999}",20,0,-75.96389615608315,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.35, 'e': 0.9039999999999999}",25,0,-64.8830357692731,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
97,False,"{'a': 0.35, 'e': 0.9029999999999999}",30,0,-184.3917200804482,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
98,False,"{'a': 0.35, 'e': 0.9019999999999999}",30,0,-54.301971457251064,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
99,False,"{'a': 0.35, 'e': 0.9009999999999999}",20,0,-114.85164063024013,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
100,False,"{'a': 0.35, 'e': 0.8999999999999999}",25,0,-152.54063777252438,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
